,id,pl,uk,false_friends,orthographic_sim,predictions
811,812,pierogi,наглий,2,0,0
812,813,strata,порадувати,2,0,1
813,814,stryczek,відпочивати,2,0,0
814,815,krzesło,олово,2,0,0
815,816,ożóg,осада,2,0,0
817,818,chory,пацан,2,0,0
818,819,smaczny,пенсія,2,0,0
819,820,bratanica,пень,2,0,0
820,821,bohater,пилка,2,0,0
821,822,szczegół, ножна пилка,2,0,0
822,823,korzystny,пивниця,2,0,0
823,824,chwost,плутон,2,0,0
824,825,bufet,страждати,2,0,0
826,827,powieść,просто,2,0,0
828,829,łyżwy,розірватися,2,0,0
829,830,cieśnina,розказ,2,0,0
830,831,lato,рик,2,0,0
832,833,trzydzieści,соплі,2,0,0
833,834,porwać,список,2,0,0
835,836,ogon,спотикатися,2,0,0
836,837,bydło,ссати,2,0,0
837,838,pluton,саки,2,0,0
838,839,piwo,сутки,2,0,0
839,840,woda,шаль,2,0,0
840,841,gwiazda,сметанка,2,0,0
841,842,dzień,тарас,2,0,0
842,843,zdrowy,травник,2,0,0
843,844,lipiec,тикати,2,0,0
844,845,wzwód,вбити,2,0,0
846,847,leczyć,поважати,2,0,0
847,848,ciąża,вонь,2,0,0
848,849,czterysta,вигідний,2,0,0
849,850,ołów,взір,2,0,0
850,851,pytać,взвод,2,0,0
851,852,tańszy,забіг,2,0,0
852,853,potoczny,закон,2,0,0
854,855,kraina,запамʼятати,2,0,0
855,856,korale,засідка,2,0,0
856,857,kupować,заснути,2,0,0
857,858,wtorek,зимовий,2,0,0
858,859,płyta,залізяка,2,0,0
859,860,godzina,грубий,2,0,0
860,861,paszport,актуальний,2,0,0
861,862,góra,бронзовий,2,0,0
862,863,płazy,корисний,2,0,0
863,864,czas,лагідний,2,0,0
864,865,kolejny,лужний,2,0,1
865,866,kazać,пишний,2,0,0
866,867,tabor,правдивий,2,0,0
867,868,przygoda,пристойний,2,0,0
868,869,wiek,сольний,2,0,0
869,870,wstawać,бачити,2,0,0
870,871,śmiać się,копати,2,0,0
871,872,pień,рахувати,2,0,0
872,873,podróżować,порушити,2,0,1
873,874,czyhać,порвати,2,0,0
874,875,dwadzieścia,сапати,2,0,0
875,876,słaby,точити,2,0,0
